
gender;age;question_1;question_2;question_3;question_4;question_5;question_6;question_7;question_8;question_9;self_awareness_1;self_awareness_2;self_awareness_3;self_awareness_4;self_awareness_5;self_awareness_6;self_regulation_1;self_regulation_2;self_regulation_3;self_regulation_4;self_regulation_5;self_regulation_6;empathy_1;empathy_2;empathy_3;empathy_4;empathy_5;empathy_6;interaction_skills_1;interaction_skills_2;interaction_skills_3;interaction_skills_4;interaction_skills_5;interaction_skills_6;self_motivation_1;self_motivation_2;self_motivation_3;self_motivation_4;self_motivation_5;self_motivation_6
Женский;2005;1;3;1;1;2;0;1;2;2;1;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1
Женский;2004;1;1;2;0;1;1;1;1;2;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0
Женский;2003;1;3;1;1;1;3;1;2;2;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;0;0
Женский;2001;1;1;2;0;1;1;1;2;2;1;1;1;1;1;1;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;0;0
Женский;2000;1;3;2;0;1;3;1;2;2;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;1;1;1;1;1;0;0
Женский;1994;1;3;2;0;1;2;2;2;3;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;0;0;0;0;1;1;1;1;1;1;0;0
Женский;1992;3;3;2;0;1;3;1;3;2;1;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0
Женский;1992;1;3;2;0;1;3;1;2;4;1;1;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0
Женский;1984;1;3;2;0;2;0;0;2;3;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;0
Женский;1981;1;3;2;0;2;0;0;2;2;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0
Женский;1975;1;3;1;1;1;3;1;1;4;1;1;1;1;1;1;1;0;0;0;1;1;0;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0
Женский;1969;1;3;2;0;2;0;0;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Женский;1968;3;3;2;0;2;0;0;3;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
Женский;1965;1;3;1;2;1;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0
Женский;1964;3;3;2;0;2;0;0;2;1;1;0;1;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0
Мужской;2003;1;1;1;1;2;0;2;2;2;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Мужской;2002;3;1;2;0;2;1;1;2;2;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;1;1;1;1;0;0;0;0;0;1;1;1;1;0;0
Мужской;2003;1;3;2;0;1;3;1;2;2;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0;0
Мужской;1999;3;1;1;2;2;1;2;2;2;1;0;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1
Мужской;1998;1;3;2;0;2;3;1;1;2;1;1;1;1;1;1;0;0;0;1;1;1;0;0;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0
Мужской;1991;1;2;2;0;2;2;1;1;2;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0
Мужской;1990;1;2;2;0;2;3;1;2;2;1;0;1;1;1;1;0;0;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0
Мужской;1986;1;2;2;0;2;3;1;2;2;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1
Мужской;1985;1;2;2;1;2;0;1;2;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0
Мужской;1983;1;2;2;0;2;0;0;2;2;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0
Мужской;1973;2;1;2;0;2;0;0;3;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0;0
Мужской;1971;3;3;2;2;2;0;1;2;2;1;1;1;0;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0
Мужской;1968;3;3;2;0;2;0;0;3;2;1;1;1;0;1;1;1;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;0
Мужской;1966;2;3;2;1;2;0;2;3;1;1;1;0;0;1;1;0;0;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0;0
Мужской;1964;2;2;2;0;2;0;0;1;2;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0
